ra,dec,tic_id,sy_dist,sy_disterr,st_lum,st_mass
213.915338,19.182202,459832522.0,11.257458065968704,0.0684343955378036,2.2830749747354715,0.92
68.980213,16.509084,245873777.0,20.43318348998774,0.3214865404023408,2.605585145784423,0.93
187.791407,-57.11318,272314138.0,27.15177844148792,0.1326994330564166,2.9352033256353525,0.5441563948589293
101.286998,-16.715745,322899250.0,2.6370612589330453,0.0109874654917175,1.424240437142861,2.4775856792237505
219.903981,-60.837157,471011144.0,1.3474909718104888,0.002542024686755,-0.2583092356262869,0.8959186306211407
114.825217,5.224936,280310048.0,3.497359493582345,0.0107637406160684,0.857802556964839,1.53
219.910043,-60.833976,471011145.0,1.3474909718104888,0.002542024686755,0.2198564358187633,1.035213484399243
279.234764,38.783747,157587146.0,7.756146746296439,0.0330867967925466,1.7652920346719942,2.4052352692799066
116.328966,28.026137,423088367.0,10.358400662937642,0.0289700453593656,1.594171479114912,2.02
89.88216396171,44.94743634981,440388263.0,24.86943546381497,0.1422524286664372,2.038807431448595,2.2264341531921854
297.695844,8.868386,70257116.0,5.12952038984355,0.0149978282749978,1.0177215757396576,1.8281924586383476
165.931834,61.750945,99843265.0,37.67897513187641,0.6814584801545094,2.557308083011712,0.7339396124372838
222.676488,74.15555,229540730.0,38.774718883288095,0.7818089887285696,2.623787469143692,0.6322828325926475
31.793405,23.462332,306349516.0,20.21018593371059,0.4043670993204019,1.909609510490169,1.45
154.993377,19.841307,95431294.0,39.88831272437176,0.8273602958385845,2.5385943663814308,0.678479721468882
269.151559,51.488832,329269366.0,45.24886877828054,0.9418316578284636,2.6728582754066967,0.6120597169771804
10.897442,-17.986588,114434141.0,29.37720329024677,0.7076764599883182,2.1657486815594145,2.79
211.670609,-36.369934,179323446.0,18.034265103697024,0.0650469435660848,3.679806662742005,0.8081666320131379
24.428517,-57.236651,230981971.0,42.75331338178709,1.0418721089191378,3.5584394276201587,6.523399869685962
252.54091763127,-34.29323861225,191437754.0,24.4589,0.7432,1.9233815617965488,0.7102754806751789
6.570833,-42.30604,80256524.0,25.0512,0.457,1.9017450265918008,0.7681499037191268
152.092926,11.967192,357348164.0,23.759,0.446,2.6721561863128924,3.04524678398948
344.412715,-29.622122,47552789.0,7.7035667514059005,0.0278921221258822,1.235383700163226,2.1193596014385547
81.572987,28.607434,285473140.0,40.17677782241864,1.4204726590489516,2.885423558809439,3.9247036649564446
138.299889,-69.717166,290374453.0,34.698126301179734,0.1324355965693883,2.4026120470440597,2.2451884408598257
2.294576,59.149788,396298498.0,16.69727834362999,0.1561274982874068,1.4070359643419443,1.93
2.096903,29.09042,427733653.0,29.744199881023203,0.3096510992967912,2.3466161315499914,3.592546418709897
250.321778,31.60275,43255143.0,10.795638562020944,0.0699274871770761,0.8612229560788872,1.030626266423431
6.435112,-77.254246,267211065.0,7.4783,0.0152,0.5528131587042883,1.2
99.428069,16.399262,308056612.0,33.51206434316354,2.5044203580849427,2.280402362398738,2.316307009802383
208.671115,18.397662,367758676.0,11.341726210729274,0.0964760650793575,0.9439475013907008,1.65
177.264989,14.572097,14725877.0,11.091,0.109,1.1386143003756135,2.114637065972199
190.379276,-48.959736,161739042.0,39.98400639744102,1.6147079752665106,2.344302634790154,2.3685859143936163
168.527155,20.523814,159523958.0,17.693,0.26,1.3742748934587394,1.9197874623452853
285.652919,-29.880115,30504485.0,27.314941272876265,1.0221652429347303,1.7564908959992716,2.1701995372510785
28.660037,20.808067,91356756.0,18.26817683595177,0.2502947136822037,1.3544608377349867,2.0507441712503858
332.058289,-46.960987,279316667.0,30.96934035305048,0.2014110087996469,2.635337261992303,3.5210485369595137
326.7601575989,-16.12733287612,155842257.0,13.6306,0.2299,1.0106013670099334,1.5468534111914067
222.719715,-16.041771,386886963.0,23.66863905325444,0.5882146983649031,1.5649958013990577,2.022736382246387
76.96247,-5.086396,248409489.0,27.5896,0.2721,1.641932008791955,1.728065133395401
32.385989,34.987289,63584475.0,38.89537145079736,0.5143689729004707,1.8484868452432013,1.768309982569675
194.00689284559,38.31835837138,17668155.0,37.6372,0.8468,2.102612033961476,2.9668188730886245
291.374622,3.114787,228896480.0,15.372790161414295,0.1914213686509697,0.9170120900509304,1.5712641102116738
275.264244,72.732873,341873045.0,8.3,0.1,0.3412693941201412,1.08
47.04222797272,40.95564357022,346783960.0,27.570995312930798,1.0642236955639126,2.086904888839131,3.362397028414652
156.970905694,36.70727714588,8200881.0,46.4984,1.8647,1.6515273449103989,0.8219134827802325
14.18832360396,38.4992742994,432698066.0,41.2815,1.2048,1.5687422018895152,1.978306649395854
54.2183,0.401603,311092847.0,13.9204,0.0291,0.4998363226752881,1.1299532651901243
197.497092,17.52943,138128530.0,14.32459533018192,5.659251385280295,0.4772567945409624,1.34
166.254327,7.336022,350347140.0,28.9011,0.2398,0.977630465452556,1.61
225.94679016828,47.65397723893,283819432.0,12.947,0.2032,-0.1947189730167317,0.97
117.942894,-13.898045,54137341.0,16.672224074691563,0.2640649028168887,0.2903358544399892,1.04
229.82835,1.765429,461297684.0,25.1285,0.0509,0.7007885224348643,1.2650383710861206
8.812015,-3.59289,212957673.0,21.04820037886761,0.5094807500673068,0.477227875842974,1.22
240.88368,-57.775109,426452677.0,39.38558487593541,1.93903037002439,1.2242426530402222,1.776416840225435
17.067652,54.920339,252191219.0,7.6753,0.0256,-0.3195131181056405,0.78
129.7831,-22.6616,118486580.0,19.6208,0.1181,0.4071692087530416,1.22
259.737893,-34.989934,154385728.0,6.971070059254096,0.8319604002400149,-0.7158334848584191,0.7980589343366188
