ra,dec,tic_id,sy_dist,sy_disterr,st_lum,st_mass,inclination
349.17626172129,53.21347619028,S24467943,20.59946823120117,0.0202512741088867,0.3126727733769597,1.117173194885254,61.30670516561816
35.50638231922,-10.77753340736,S408130113,29.81879997253418,0.0617628097534179,0.6740800089677674,1.4076534509658811,31.03488126083943
317.34316298926,-73.17325802425,S311430135,21.36559295654297,0.4286575317382795,0.323577179830856,1.08,47.765664822426004
244.97975885272,39.70858296686,S39836825,26.972679138183597,0.0337839126586931,0.5709760890654714,1.325706958770752,64.53516407623366
84.29118799799,-80.46911979699,S261136679,18.292938232421875,0.0130071640014666,0.1866479837304161,1.0258615016937256,5.640936654899295
48.99028329838,-77.38845475544,S431380163,29.18741607666016,0.0502834320068359,0.6278750721626046,1.34054434299469,11.70316360446423
123.05300779214,17.6476433734,S800823403,24.41713523864746,0.1000823974609375,0.4322305950559748,1.200120171365819,78.03533999914741
319.31361874396,-38.8673642818,S159746875,3.9691498279571538,0.0005981922149658,-0.9806391893582184,0.5814283734521518,62.42690768393458
9.84085629816,21.25047668048,S434210589,11.102668762207031,0.0056324005126962,-0.276561977463799,0.9,37.39672500889156
8.61596542315,-52.37309166437,S156003229,25.741113662719727,0.0317010879516601,0.5285630462898685,1.2511705160140991,35.41978426841565
126.14589375984,-3.75124060168,S168975758,27.043174743652344,0.0433549880981445,0.5366635994437643,1.2794208526611328,7.443184060956699
94.31720789263,5.0999765638,S265361101,19.368364334106445,0.0493850708007812,0.2192067629878754,1.08,43.0943670449399
43.98716978741,61.52113810449,S390733496,26.72487449645996,0.0411605834960937,0.5295270706736397,1.2803901433944702,5.586930066422227
224.09600278122,49.62844899397,S309765388,25.137868881225582,0.0251283645629882,0.462588288108622,1.2137093544006348,61.6274495371766
173.06835150221,-29.26102054809,S429149606,28.065786361694336,0.0421028137207031,0.549942154467054,1.1770472526550293,16.055699907604758
349.24036416257,-62.00119966025,S234968549,20.43643379211425,0.0133886337280273,0.2748952118530709,1.132238268852234,2.498974506955852
188.6766402693,-44.67301892531,S72814920,28.444677352905277,0.0342826843261701,0.5371061109302953,1.1370389461517334,40.62733354492847
256.3338506424,54.47002333681,S198355687,27.173952102661133,0.0495357513427752,0.5262416375398825,1.29,17.051803120776327
39.24419971873,-34.57797595741,S122555698,25.436594009399418,0.0199384689331036,0.4360414653927376,1.0662989616394043,49.77460673307188
300.08437117486,-33.70345213582,S211305389,22.12559127807617,0.0282154083251953,0.3410577554229977,1.1705386638641355,61.1095434158216
23.42848064113,-7.02534346454,S29845542,29.751611709594727,0.0456857681274414,0.5769086895766662,1.05,64.22570086266333
259.05567807409,-26.54614810103,S79841001,5.95277214050293,0.0012993812561035,-0.8021542610180918,0.6819101572036743,78.94092152080783
159.13492473145,-12.23012222214,S386563653,24.7366,0.0669,0.4251754207256349,1.14,5.474868029766612
103.82777793864,25.37569550081,S80226651,17.396427154541016,0.0275831222534179,0.1084709789017899,0.994596302509308,57.62804183457298
72.15160444268,-5.67404286012,S176379354,26.124753952026367,0.0272331237792951,0.4563923029069229,1.0846285820007324,32.746094666462696
133.14921386944,28.33082136147,S332064670,12.580838203430176,0.0067791938781738,-0.1972745832530103,0.9,9.424604740066883
173.08633060795,61.08249890432,S100011351,28.261716842651367,0.0623416900634747,0.5513574671465005,1.17,9.134330208640938
